datetime,GISP2,EPICA Dome C CO2
-493776-09-19 23:49:27,,238.5
-493074-04-12 07:25:54,,238.3
-492350-01-06 16:45:59,,239.1
-491643-04-19 04:49:22,,239.7
-490914-08-17 07:03:03,,243.7
-490205-11-09 00:26:32,,246.7
-489501-04-28 22:45:07,,243.3
-488784-06-15 02:03:51,,242.6
-488545-06-30 13:56:56,,249.3
-488076-02-12 09:07:47,,252.8
-487770-08-13 02:44:38,,240.9
-487352-04-24 18:44:17,,242.0
-486616-12-13 19:03:27,,237.1
-485898-05-02 05:49:23,,231.3
-485179-02-24 15:21:32,,232.9
-484449-09-25 06:51:10,,233.0
-483718-11-18 02:51:37,,231.2
-482986-03-22 08:22:19,,231.4
-482230-08-10 21:29:37,,231.4
-481445-01-07 12:41:21,,227.3
-480631-06-09 01:55:33,,223.4
-479713-06-09 10:02:58,,223.8
-478777-09-19 09:13:49,,218.8
-478378-02-04 13:43:19,,220.8
-477826-09-15 01:31:02,,231.3
-477453-06-12 10:34:09,,236.5
-476943-12-07 22:19:50,,239.1
-475991-05-24 06:32:58,,236.6
-475000-08-05 08:10:04,,232.8
-473975-03-11 11:55:58,,233.1
-473024-04-12 16:48:03,,241.2
-472142-01-12 00:12:41,,245.6
-471851-07-16 18:17:32,,243.9
-471268-07-27 22:06:43,,243.7
-470913-02-13 13:01:47,,232.7
-470313-04-26 21:51:17,,229.2
-469875-11-10 05:23:14,,218.7
-469251-08-07 09:26:41,,215.5
-468776-05-29 01:00:23,,206.5
-468090-04-05 09:41:43,,205.5
-466928-09-04 05:46:34,,203.4
-465757-09-30 10:08:15,,204.4
-464682-01-31 17:25:47,,208.1
-463652-08-27 09:05:49,,210.0
-463315-01-08 21:32:19,,205.2
-462650-11-30 00:36:16,,199.9
-461577-09-25 03:51:40,,194.4
-460464-04-13 08:51:33,,190.7
-459336-04-27 04:17:49,,195.5
-458302-03-02 19:49:48,,202.4
-457262-10-30 18:32:53,,208.3
-456844-05-15 00:00:44,,203.3
-456258-02-01 15:52:06,,204.3
-455795-04-01 05:42:41,,199.1
-455165-12-08 20:10:03,,192.5
-454052-10-07 07:35:36,,193.3
-452914-01-24 06:27:27,,198.4
-451826-09-25 11:50:47,,201.9
-450786-07-14 07:57:56,,204.9
-449797-02-04 03:50:17,,201.2
-448693-06-25 23:48:14,,201.7
-447621-05-01 20:13:20,,208.1
-446509-03-11 00:48:34,,203.5
-445269-03-11 08:38:43,,201.1
-443382-08-21 17:57:34,,199.1
-441895-09-19 02:48:52,,202.0
-440281-08-02 13:04:14,,201.3
-438710-10-13 02:05:46,,201.7
-437114-12-10 01:48:29,,200.3
-435536-12-09 06:21:37,,207.5
-433990-09-02 02:08:04,,209.8
-432429-04-16 08:51:38,,207.6
-431900-01-21 11:40:46,,211.5
-430229-01-17 13:09:40,,227.2
-429074-08-06 04:06:30,,219.7
-427229-12-30 02:59:44,,242.5
-426890-02-26 10:14:31,,248.2
-425992-12-14 02:45:37,,252.1
-425205-05-24 04:33:21,,255.3
-424672-10-16 09:05:16,,265.4
-424287-01-30 07:16:38,,270.0
-423791-06-10 22:06:15,,270.8
-423182-02-02 14:02:50,,268.3
-422558-08-07 23:46:50,,267.7
-421276-11-06 19:12:21,,270.6
-420583-09-12 20:35:02,,266.4
-419962-03-13 15:24:30,,268.6
-418752-08-02 03:31:40,,273.8
-418184-08-02 17:10:53,,271.2
-417626-07-26 13:23:29,,273.7
-416555-01-17 00:38:46,,274.6
-416007-07-25 16:16:02,,271.8
-415491-11-26 20:01:59,,273.4
-414475-01-09 11:53:35,,271.7
-413996-09-24 19:56:14,,276.4
-413230-10-02 15:50:09,,271.6
-412261-06-25 17:38:28,,264.9
-411309-09-10 00:13:11,,274.9
-409398-05-15 23:21:52,,283.5
