Age,d18O
3439.789,2.901
3441.617,2.871
3443.445,2.951
3445.37,3.291
3447.323,3.111
3449.276,3.041
3451.229,3.111
3453.465,2.931
3455.897,2.861
3458.337,3.061
3460.778,2.961
3463.22,3.091
3465.661,3.181
3468.093,3.071
3470.113,2.961
3472.066,2.971
3474.019,3.031
3475.972,2.711
3477.923,2.881
3479.874,2.941
3481.824,2.871
3483.775,2.881
3485.725,2.981
3487.676,3.061
3489.626,3.001
3491.772,2.921
3493.333,3.011
3493.723,2.931
3494.309,2.921
3495.481,2.951
3495.481,2.941
3497.05,2.961
3498.854,2.761
3501.46,2.921
3503.462,2.791
3505.465,2.971
3507.467,2.851
3509.269,2.881
3511.917,2.901
3515.36,2.991
3518.489,3.081
3521.305,3.401
3524.122,3.191
3527.075,3.051
3530.409,3.111
3534.076,2.791
3537.782,2.921
3541.173,3.041
3544.523,3.131
3547.508,3.071
3550.492,3.031
3553.477,3.001
3556.462,3.021
3559.446,3.091
3562.431,3.031
3565.416,3.001
3568.401,2.891
3571.385,2.801
3574.37,3.021
3577.528,2.991
3580.715,3.191
3583.9,3.131
3587.083,3.251
3590.266,3.011
3593.449,2.961
3596.716,2.921
3599.999,2.991
3603.285,3.121
3606.571,2.951
3609.854,2.671
3613.136,2.851
3616.524,2.941
3620.215,3.191
3623.909,3.221
3627.606,3.211
3631.297,3.431
3634.899,3.131
3638.185,2.861
3640.485,2.901
3644.754,2.871
3648.036,2.881
3651.318,2.771
3654.568,2.871
3657.781,3.011
3660.993,3.131
3664.527,3.221
3667.741,3.291
3671.6,3.231
3675.138,3.161
3678.351,3.121
3682.022,2.901
3685.827,2.921
3689.633,2.641
3693.44,3.031
3697.597,2.991
3700.985,2.821
3704.553,2.981
3708.122,3.071
3711.691,3.141
3715.259,3.171
3718.723,3.031
3721.765,2.791
3724.503,2.971
3727.241,2.911
3730.283,2.721
3733.021,2.861
3735.759,2.851
3738.498,2.861
3741.543,2.851
3744.283,2.931
3747.042,3.081
3750.222,2.891
3753.084,2.881
3755.946,2.791
3758.807,2.691
3761.987,2.761
3767.508,2.661
3770.3,2.851
3773.51,3.061
3776.398,3.161
3780.249,3.201
3784.101,2.891
3787.955,2.881
3792.621,3.021
3796.181,2.991
3800.808,3.061
3805.079,3.021
3809.35,3.111
3813.9,2.971
3819.11,2.891
3823.913,2.931
3829.016,3.181
3833.12,3.281
3833.867,3.041
3837.972,2.811
3842.076,2.681
3845.436,2.631
3849.443,2.621
3853.662,2.981
3857.891,2.701
3862.023,2.751
3865.369,2.991
3869.055,3.021
3872.209,3.131
3876.081,3.141
3880.012,2.831
3883.588,2.861
3886.45,3.021
3888.953,2.721
3891.097,2.971
3893.597,3.051
3896.455,2.951
3900.742,2.911
3903.243,2.971
3906.101,2.861
3906.816,2.861
3909.677,2.851
3910.393,2.851
3913.254,2.911
3913.254,3.151
3916.075,2.971
3918.535,3.061
3921.348,3.001
3924.511,2.891
3928.729,2.861
3933.236,2.741
3937.3,2.731
3941.365,3.111
3944.577,3.031
3947.439,3.101
3950.513,3.031
3953.497,2.781
3955.7,2.881
3958.299,3.051
3960.731,3.021
3963.164,3.021
3966.261,3.041
3969.575,3.111
3972.889,3.021
3976.865,3.241
3980.179,3.071
3983.051,3.381
3985.26,3.231
3987.969,3.161
3990.457,3.321
3992.943,3.191
3994.724,3.391
3997.053,3.661
4000.031,3.551
